texture_level,level_name,overall,025_mug,006_mustard_bottle,035_power_drill,024_bowl,021_bleach_cleanser
0,no_randomization,9.93,20.83,0.0,28.67,0.0,0.17
10,textures_00010,49.87,0.0,10.0,71.5,70.33,97.5
100,textures_00100,38.3,10.67,38.83,99.5,5.33,37.17
500,textures_00500,41.97,8.83,26.33,80.5,3.67,90.5
1000,textures_01000,65.3,97.33,78.67,78.0,0.0,72.5
5000,textures_05000,40.83,18.17,52.5,100.0,4.83,28.67
